"","ID","Sessio","jarkyttynyt","valpas","peloissaan","surullinen","inspiroitunut","vihamielinen","paattavainen","liikuttunut","hapeissaan","tarkkaavainen","hermostunut","aktiivinen","rentoutunut","ahdistunut","Condition","pos","neg","Empathy","sad","anxious","relaxed","moved","pleasantness"
"111","50046",3,1,2,1,1,2,1,2,1,1,3,1,3,3,1,"Silence",2.28571428571429,1,"HIGH",83,80,70,85,83
"112","50047",1,1,3,1,1,1,1,2,1,1,2,2,1,4,1,"Baseline",2,1.14285714285714,"LOW",77,70,61,66,47
"113","50047",2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,"Music",1.28571428571429,1.28571428571429,"LOW",77,70,61,66,47
"114","50047",3,1,3,1,1,1,1,2,1,1,3,2,1,2,1,"Silence",1.85714285714286,1.14285714285714,"LOW",77,70,61,66,47
"115","50048",1,1,2,1,1,1,1,2,1,1,3,3,2,3,1,"Baseline",2,1.28571428571429,"HIGH",15,50,61,35,53
"116","50048",2,1,2,1,1,1,1,3,1,1,3,1,3,4,2,"Music",2.42857142857143,1.14285714285714,"HIGH",15,50,61,35,53
"117","50048",3,1,3,1,1,4,1,3,1,1,5,1,4,3,1,"Silence",3.28571428571429,1,"HIGH",15,50,61,35,53
"118","50049",1,1,2,1,1,1,1,1,1,1,2,1,2,4,1,"Baseline",1.85714285714286,1,"LOW",12,1,77,63,100
"119","50049",2,1,3,1,1,3,1,1,3,1,2,1,2,3,1,"Music",2.42857142857143,1,"LOW",12,1,77,63,100
"120","50049",3,1,2,1,1,1,1,1,1,1,2,1,1,4,1,"Silence",1.71428571428571,1,"LOW",12,1,77,63,100
"121","50050",1,1,3,1,1,3,1,4,1,1,5,3,3,2,1,"Baseline",3,1.28571428571429,"HIGH",8,3,97,84,99
"122","50050",2,1,2,1,1,5,1,4,3,1,2,1,3,4,1,"Music",3.28571428571429,1,"HIGH",8,3,97,84,99
"123","50050",3,1,3,1,1,4,1,4,2,1,NA,2,3,2,1,"Silence",NA,1.14285714285714,"HIGH",8,3,97,84,99
"124","50051",1,1,1,1,1,2,1,1,2,1,3,1,2,5,1,"Baseline",2.28571428571429,1,"HIGH",41.5094339622642,2.83018867924528,98.1132075471698,65.0943396226415,97.1698113207547
"125","50051",2,1,1,1,3,4,1,2,3,1,3,1,1,5,1,"Music",2.71428571428571,1.28571428571429,"HIGH",41.5094339622642,2.83018867924528,98.1132075471698,65.0943396226415,97.1698113207547
"126","50051",3,1,1,1,2,3,1,2,1,1,3,1,2,5,1,"Silence",2.42857142857143,1.14285714285714,"HIGH",41.5094339622642,2.83018867924528,98.1132075471698,65.0943396226415,97.1698113207547
"127","50052",1,1,3,2,1,4,1,4,1,1,3,2,3,3,1,"Baseline",3,1.28571428571429,"HIGH",91.5094339622642,70.7547169811321,80.188679245283,91.5094339622642,89.622641509434
"128","50052",2,2,2,2,4,3,1,3,4,1,2,1,2,4,2,"Music",2.85714285714286,1.85714285714286,"HIGH",91.5094339622642,70.7547169811321,80.188679245283,91.5094339622642,89.622641509434
